Probe and Sample ID,Expression Value,Standard Deviation,Day ,Line Graph Group
3110056O03Rik_chr10:80318086-80331449 - 1⁰iPSC,1.378676581,0,1⁰iPSC,1⁰iPSC
3110056O03Rik_chr10:80318086-80331449 - 2°MEF,1.319024563,0,Day 0,High Dox
3110056O03Rik_chr10:80318086-80331449 - 2⁰iPSC,1.321501144,0,2⁰iPSC,2⁰iPSC
3110056O03Rik_chr10:80318086-80331449 - D11H,1.105067134,0,Day 11,High Dox
3110056O03Rik_chr10:80318086-80331449 - D16H,1.511853111,0,Day 16,High Dox
3110056O03Rik_chr10:80318086-80331449 - D16L,1.416355402,0,Day 16,Low Dox
3110056O03Rik_chr10:80318086-80331449 - D18H,1.037741651,0,Day 18,High Dox
3110056O03Rik_chr10:80318086-80331449 - D21L,0.756823084,0,Day 21,Low Dox
3110056O03Rik_chr10:80318086-80331449 - D21Ø,1.09474201,0,Day 21,Low Dox
3110056O03Rik_chr10:80318086-80331449 - D2H,1.16402336,0,Day 02,High Dox
3110056O03Rik_chr10:80318086-80331449 - D5H,1.267071997,0,Day 05,High Dox
3110056O03Rik_chr10:80318086-80331449 - D8H,1.143623876,0,Day 08,High Dox
3110056O03Rik_chr10:80318086-80331449 - ESC,1.529909435,0,ESC,ESC
Data from http://www.stemformatics.org/expressions/result?graphType=scatter&datasetID=6151&gene=ENSMUSG00000035206&db_id=46#,,,,
