Probe,LineGraphGroup,Day,Sample_ID,Expression_Value,Standard_Deviation
ENSMUST00000099151chr3:34544927-34548927,1⁰iPSC,1⁰iPSC,1⁰iPSC,0.0133183722,0
ENSMUST00000099151chr3:34544927-34548927,High Dox,Day 0,2°MEF,0.0602413268,0
ENSMUST00000099151chr3:34544927-34548927,2⁰iPSC,2⁰iPSC,2⁰iPSC,0.0142801725,0
ENSMUST00000099151chr3:34544927-34548927,High Dox,Day 11,D11H,0.0320228929,0
ENSMUST00000099151chr3:34544927-34548927,High Dox,Day 16,D16H,0.0452461509,0
ENSMUST00000099151chr3:34544927-34548927,Low Dox,Day 16,D16L,0.0549839979,0
ENSMUST00000099151chr3:34544927-34548927,High Dox,Day 18,D18H,0.0541715761,0
ENSMUST00000099151chr3:34544927-34548927,Low Dox,Day 21,D21L,0.0417188703,0
ENSMUST00000099151chr3:34544927-34548927,Low Dox,Day 21,D21Ø,0.0301756243,0
ENSMUST00000099151chr3:34544927-34548927,High Dox,Day 02,D2H,0.003617508,0
ENSMUST00000099151chr3:34544927-34548927,High Dox,Day 05,D5H,0.0136615784,0
ENSMUST00000099151chr3:34544927-34548927,High Dox,Day 08,D8H,0.0323444086,0
ENSMUST00000099151chr3:34544927-34548927,ESC,ESC,ESC,0.0309124129,0
ENSMUST00000169607chr3:34544977-34548977,1⁰iPSC,1⁰iPSC,1⁰iPSC,0.0133183722,0
ENSMUST00000169607chr3:34544977-34548977,High Dox,Day 0,2°MEF,0.0602413268,0
ENSMUST00000169607chr3:34544977-34548977,2⁰iPSC,2⁰iPSC,2⁰iPSC,0.0142801725,0
ENSMUST00000169607chr3:34544977-34548977,High Dox,Day 11,D11H,0.0320228929,0
ENSMUST00000169607chr3:34544977-34548977,High Dox,Day 16,D16H,0.0452461509,0
ENSMUST00000169607chr3:34544977-34548977,Low Dox,Day 16,D16L,0.0549839979,0
ENSMUST00000169607chr3:34544977-34548977,High Dox,Day 18,D18H,0.0541715761,0
ENSMUST00000169607chr3:34544977-34548977,Low Dox,Day 21,D21L,0.0417188703,0
ENSMUST00000169607chr3:34544977-34548977,Low Dox,Day 21,D21Ø,0.0301756243,0
ENSMUST00000169607chr3:34544977-34548977,High Dox,Day 02,D2H,0.003617508,0
ENSMUST00000169607chr3:34544977-34548977,High Dox,Day 05,D5H,0.0136615784,0
ENSMUST00000169607chr3:34544977-34548977,High Dox,Day 08,D8H,0.0323444086,0
ENSMUST00000169607chr3:34544977-34548977,ESC,ESC,ESC,0.0309124129,0
ENSMUST00000171472chr3:34545058-34549058,1⁰iPSC,1⁰iPSC,1⁰iPSC,0.0133183722,0
ENSMUST00000171472chr3:34545058-34549058,High Dox,Day 0,2°MEF,0.0602413268,0
ENSMUST00000171472chr3:34545058-34549058,2⁰iPSC,2⁰iPSC,2⁰iPSC,0.0142801725,0
ENSMUST00000171472chr3:34545058-34549058,High Dox,Day 11,D11H,0.0320228929,0
ENSMUST00000171472chr3:34545058-34549058,High Dox,Day 16,D16H,0.0452461509,0
ENSMUST00000171472chr3:34545058-34549058,Low Dox,Day 16,D16L,0.0549839979,0
ENSMUST00000171472chr3:34545058-34549058,High Dox,Day 18,D18H,0.0541715761,0
ENSMUST00000171472chr3:34545058-34549058,Low Dox,Day 21,D21L,0.0417188703,0
ENSMUST00000171472chr3:34545058-34549058,Low Dox,Day 21,D21Ø,0.0301756243,0
ENSMUST00000171472chr3:34545058-34549058,High Dox,Day 02,D2H,0.003617508,0
ENSMUST00000171472chr3:34545058-34549058,High Dox,Day 05,D5H,0.0136615784,0
ENSMUST00000171472chr3:34545058-34549058,High Dox,Day 08,D8H,0.0323444086,0
ENSMUST00000171472chr3:34545058-34549058,ESC,ESC,ESC,0.0309124129,0
